x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s),participant,label,category,set
,,,-10.671,-1.524,5.976,B,bench,heavy,30.0
,,,-8.72,-2.073,3.171,B,bench,heavy,30.0
,,,0.488,-3.537,-4.146,B,bench,heavy,30.0
,,,0.244,-5.854,3.537,B,bench,heavy,30.0
,,,-0.915,0.061,-2.805,B,bench,heavy,30.0
,,,1.402,2.683,-4.024,B,bench,heavy,30.0
,,,-11.28,4.512,-0.671,B,bench,heavy,30.0
,,,-6.159,10.854,-16.098,B,bench,heavy,30.0
,,,1.28,-7.866,7.073,B,bench,heavy,30.0
,,,8.171,-7.073,8.11,B,bench,heavy,30.0
0.016,0.98,-0.087,,,,,,,
,,,-7.988,8.049,1.28,B,bench,heavy,30.0
,,,-4.756,8.232,4.329,B,bench,heavy,30.0
0.011,0.974,-0.055,,,,,,,
,,,2.866,-3.293,-0.305,B,bench,heavy,30.0
,,,-1.402,-0.915,-0.732,B,bench,heavy,30.0
-0.011,0.97,-0.086,,,,,,,
,,,0.976,-2.5,5.427,B,bench,heavy,30.0
,,,3.415,-1.829,6.22,B,bench,heavy,30.0
0.008,0.971,-0.073,,,,,,,
,,,-14.268,4.085,0.244,B,bench,heavy,30.0
,,,-16.951,-10.366,4.512,B,bench,heavy,30.0
0.012,0.996,-0.051,,,,,,,
,,,-0.244,4.817,-6.524,B,bench,heavy,30.0
,,,9.268,10.0,1.707,B,bench,heavy,30.0
-0.001,0.977,-0.062,,,,,,,
,,,14.146,-4.024,-0.122,B,bench,heavy,30.0
,,,6.585,-1.707,-6.646,B,bench,heavy,30.0
-0.007,0.942,-0.08,,,,,,,
,,,7.805,0.061,-0.244,B,bench,heavy,30.0
,,,17.744,-13.354,-9.451,B,bench,heavy,30.0
-0.018,0.955,-0.091,,,,,,,
,,,7.012,-10.488,-4.024,B,bench,heavy,30.0
,,,1.585,4.939,-2.866,B,bench,heavy,30.0
-0.03,0.959,-0.056,,,,,,,
,,,6.159,-3.78,6.22,B,bench,heavy,30.0
,,,4.695,-6.707,-2.439,B,bench,heavy,30.0
-0.022,0.962,-0.117,,,,,,,
,,,-1.707,-4.817,-1.463,B,bench,heavy,30.0
,,,7.561,-1.402,-0.549,B,bench,heavy,30.0
-0.032,0.942,-0.112,,,,,,,
,,,6.768,0.549,-4.878,B,bench,heavy,30.0
,,,-5.122,4.634,-8.72,B,bench,heavy,30.0
-0.03,0.969,-0.116,,,,,,,
,,,4.573,-3.171,-0.61,B,bench,heavy,30.0
,,,6.524,-6.89,9.634,B,bench,heavy,30.0
-0.004,0.987,-0.143,,,,,,,
,,,-7.744,7.439,-7.683,B,bench,heavy,30.0
,,,-9.573,16.585,-16.22,B,bench,heavy,30.0
-0.048,0.943,-0.093,,,,,,,
,,,8.537,12.134,-17.439,B,bench,heavy,30.0
,,,7.744,21.159,-25.549,B,bench,heavy,30.0
0.003,0.84,-0.136,,,,,,,
,,,24.207,16.951,-40.0,B,bench,heavy,30.0
,,,15.976,0.366,-14.634,B,bench,heavy,30.0
-0.051,0.773,-0.16,,,,,,,
,,,33.841,-7.561,-25.122,B,bench,heavy,30.0
,,,26.707,9.939,-35.793,B,bench,heavy,30.0
-0.098,0.757,-0.14,,,,,,,
,,,30.854,12.378,-34.573,B,bench,heavy,30.0
,,,17.561,0.976,-6.585,B,bench,heavy,30.0
-0.155,0.883,-0.238,,,,,,,
,,,31.159,-13.049,-8.659,B,bench,heavy,30.0
,,,9.878,4.878,-9.756,B,bench,heavy,30.0
-0.185,0.916,-0.262,,,,,,,
,,,-1.829,2.805,-28.354,B,bench,heavy,30.0
,,,3.171,14.451,-9.695,B,bench,heavy,30.0
-0.228,0.895,-0.165,,,,,,,
,,,2.927,4.268,0.793,B,bench,heavy,30.0
,,,1.707,-12.012,-1.037,B,bench,heavy,30.0
-0.212,0.911,-0.266,,,,,,,
,,,-20.976,0.671,4.146,B,bench,heavy,30.0
,,,-22.988,-14.146,3.78,B,bench,heavy,30.0
-0.228,0.915,-0.182,,,,,,,
,,,-27.134,0.488,13.171,B,bench,heavy,30.0
,,,-24.512,-18.354,20.305,B,bench,heavy,30.0
-0.206,0.911,-0.169,,,,,,,
,,,-25.244,-5.793,21.585,B,bench,heavy,30.0
,,,-35.61,-13.72,22.744,B,bench,heavy,30.0
-0.203,0.949,-0.129,,,,,,,
,,,-30.915,-13.659,25.061,B,bench,heavy,30.0
,,,-22.134,-25.488,20.854,B,bench,heavy,30.0
-0.184,1.043,-0.067,,,,,,,
,,,-18.72,-28.11,0.427,B,bench,heavy,30.0
,,,-25.915,-6.402,-16.829,B,bench,heavy,30.0
-0.214,1.5,-0.122,,,,,,,
,,,8.537,4.207,-12.378,B,bench,heavy,30.0
,,,37.683,9.207,-8.78,B,bench,heavy,30.0
-0.217,1.671,-0.096,,,,,,,
,,,43.415,23.78,-26.22,B,bench,heavy,30.0
,,,42.073,10.793,-18.537,B,bench,heavy,30.0
-0.167,1.142,-0.08,,,,,,,
,,,47.012,16.707,-12.134,B,bench,heavy,30.0
